Date,Month,Year,Quarter,Time Of Day,Primary Keywords,Secondary Keywords,Long-Tail Keywords,Location,Social Media Source,Media Type,Device Type,Organic_Traffic,Keywords_Ranking,Clicks,Impressions,CTR (%),Average_Position,Backlinks,Domain_Authority,Bounce_Rate (%),Pages_per_Session,Organic_vs_Paid_Traffic_Split (%),Organic_Traffic_Growth_Rate (%),Conversion_Rate (%),Goal_Completions,Average_Session_Duration (sec),New_vs_Returning_Visitors (%),Exit_Rate (%),Top_Landing_Pages,Keyword_Difficulty,CPC_for_Paid_Keywords ($),Indexed_Pages,Mobile_vs_Desktop_Traffic_Split (%),Organic_Revenue ($),Page_Load_Time (sec),Core_Web_Vitals_LCP (sec),Core_Web_Vitals_FID (ms),Core_Web_Vitals_CLS,Social_Shares,Referral_Traffic,Technical_SEO_Errors,Bounce_Rate_by_Device_Mobile (%),Time_to_First_Byte_TTFB (ms)
1/1/23 23:00,January,2023,Q1,Evening,eco-friendly clothing,athleisure for eco-conscious consumers,where to buy recycled polyester running shorts,United Kingdom,YouTube,Shorts,Desktop,6350,80,2608,34419,1.23,48.91,56,62,68.14,5.85,61.23,15.89,9.96,47,466,54.36,22.81,Product Page,18.11,8.23,1974,56.49,8926.65,9.31,3.88,267.45,0.72,366,249,11,29.85,340
1/2/23 0:00,January,2023,Q1,Night,sustainable outdoor gear,eco-friendly hiking gear,carbon-neutral activewear,Mexico,YouTube,Blog post,Tablet,454,94,1855,38458,9.57,10.77,904,86,33.39,8.04,96.97,5.58,13.07,62,121,79.04,42.01,Blog Post,72.43,7.9,1925,69.76,4639.03,2.4,1.51,523.34,0.17,328,3021,19,46.93,581
1/2/23 1:00,January,2023,Q1,Night,organic cotton apparel,green fashion trends,where to buy recycled polyester running shorts,United Kingdom,Snapchat,Video,Desktop,4499,87,62,46893,6.12,17.53,325,36,15.05,5.98,97.18,27.04,3.51,375,577,73.55,44.21,Blog Post,84.92,6.83,3398,72,6034.36,3.12,3.19,694.59,0.84,187,549,7,27.47,142
1/2/23 2:00,January,2023,Q1,Night,recycled fabric dresses,eco-friendly sportswear,biodegradable outdoor clothing,United States,TikTok,Image gallery,Mobile,2868,15,1098,39272,5.44,49.69,479,85,42.99,9.96,76.25,-7.36,12.48,129,174,68.1,31.41,Product Page,82.79,3.21,669,86.62,5827.8,8.34,4.06,821.98,0.41,140,365,3,40.26,101
1/2/23 3:00,January,2023,Q1,Night,sustainable outdoor gear,ethical fashion brands,carbon-neutral activewear,Australia,Facebook,Product page,Laptop,7253,59,432,3701,0.73,27.81,494,77,24.04,3.51,78.57,11.78,1.05,499,398,64.65,20.23,Homepage,73.59,1.81,2955,71.31,7378.96,7.76,4.52,541.4,0.49,42,2058,1,16.08,740
1/2/23 4:00,January,2023,Q1,Night,recycled fabric dresses,sustainable activewear,biodegradable outdoor clothing,United States,Instagram,Blog post,Mobile,789,98,2542,5394,2.91,35.57,754,48,79.85,8.55,69.7,5.67,9.39,302,190,77.91,23.59,Product Page,64.16,7.64,780,74.49,4376.17,2.48,3.47,602.61,0.34,217,4405,18,32.82,1074
1/2/23 5:00,January,2023,Q1,Night,eco-friendly clothing,green fashion trends,carbon-neutral activewear,Australia,Snapchat,Image gallery,Laptop,3763,88,2302,23969,3.15,33.75,681,35,41.96,3.6,66.76,35.78,6.92,307,378,43.82,47,Category Page,19.3,4.57,1815,68.79,1569.79,1.36,1.63,464.3,0.86,57,1422,19,59.15,722
1/2/23 6:00,January,2023,Q1,Morning,sustainable outdoor gear,ethical fashion brands,eco-friendly clothing for hikers,Germany,Pinterest,Shorts,Mobile,7197,21,292,34092,5.42,8.95,114,59,66.86,5.25,90.87,1.89,2.43,231,203,55.5,11.34,Product Page,43.57,3.16,2958,53.66,6751.1,5.23,3.19,161.04,0.93,295,3717,10,19.12,568
1/2/23 7:00,January,2023,Q1,Morning,organic cotton apparel,eco-friendly hiking gear,biodegradable outdoor clothing,United States,Snapchat,Product page,Desktop,2650,5,1606,13314,2.07,45.27,735,74,19.88,8.71,58.74,7.67,14.52,425,110,60.31,29.01,Homepage,14.46,4.83,3598,84.04,5016.78,6.03,1.19,316.76,0.87,333,955,15,68.2,691
1/2/23 8:00,January,2023,Q1,Morning,organic cotton apparel,ethical fashion brands,biodegradable outdoor clothing,Australia,Facebook,Product page,Laptop,9371,80,2187,18541,6.74,11.33,161,10,55.19,7.9,89.87,28.98,14.43,300,482,79.34,33.68,Blog Post,72.1,4.85,3232,84.61,2764.62,3.92,1.24,527.44,0.38,258,1267,15,14.21,1245
1/2/23 9:00,January,2023,Q1,Morning,organic cotton apparel,eco-friendly hiking gear,eco-friendly clothing for hikers,Australia,Instagram,Blog post,Mobile,7290,67,2892,1846,6.53,38.19,327,77,14.29,2.26,65.56,25.87,8.68,24,512,56.74,49.33,Homepage,43.72,6.75,4486,58.87,670.45,2.06,2.47,869.07,0.77,470,3978,5,15.64,475
1/2/23 10:00,January,2023,Q1,Morning,organic cotton apparel,eco-friendly hiking gear,best organic cotton t-shirts in the US,Mexico,Pinterest,Shorts,Laptop,2955,29,1614,26171,6.13,48.42,234,10,38.71,1.89,67.01,8.77,5.2,31,116,67.92,31.53,Product Page,61.32,0.95,2418,51.2,3576.84,6.19,2.03,148.36,0.97,233,1445,11,32.08,836
1/2/23 11:00,January,2023,Q1,Morning,eco-friendly accessories,ethical fashion brands,where to buy recycled polyester running shorts,Canada,Twitter,Video,Mobile,6960,86,2358,49869,9.4,6.44,317,24,35.09,4.74,55.7,3.31,11.4,135,177,49.62,36.7,Category Page,17.25,9.53,1401,63.99,8145.24,6.6,3.09,780.49,0.37,312,2420,11,64.78,201
1/2/23 12:00,January,2023,Q1,Afternoon,eco-friendly accessories,eco-friendly hiking gear,best organic cotton t-shirts in the US,Australia,Facebook,Infographic,Laptop,5281,11,1229,18179,8.37,8.43,889,84,75.84,5.84,82.26,32.03,3.91,87,250,55.79,12.45,Product Page,31.49,0.93,4808,87.73,7487.17,5.4,3.77,662.65,0.13,272,2307,4,52.32,1016
1/2/23 13:00,January,2023,Q1,Afternoon,organic cotton apparel,eco-friendly sportswear,eco-friendly clothing for hikers,United Kingdom,YouTube,Image gallery,Laptop,4224,68,1658,7091,3.49,47.11,834,81,77.93,2.86,92.72,15.88,4.12,402,408,73.93,16.27,Blog Post,86.32,0.8,3116,67.85,982.77,8.34,4.31,670.25,0.97,102,4276,11,50.11,690
1/2/23 14:00,January,2023,Q1,Afternoon,sustainable outdoor gear,athleisure for eco-conscious consumers,eco-friendly clothing for hikers,United Kingdom,YouTube,Video,Desktop,303,22,2501,44746,7.6,20.38,938,56,58.3,9.28,77.52,23.18,3.36,263,378,57.49,46.8,Homepage,73.52,4.73,1738,84.19,5483.59,5.73,2.2,533.29,0.96,117,1269,0,14.81,1400
1/2/23 15:00,January,2023,Q1,Afternoon,recycled fabric dresses,eco-friendly sportswear,biodegradable outdoor clothing,Mexico,Twitter,Video,Desktop,5596,50,428,34234,0.83,3.73,768,71,78.69,1.03,86.05,34.54,7.23,114,433,73.43,20.98,Category Page,62.59,4.25,3917,71.99,3083.81,1.21,2.66,440.2,0.98,475,4238,18,29.27,882
1/2/23 16:00,January,2023,Q1,Afternoon,eco-friendly clothing,eco-friendly hiking gear,carbon-neutral activewear,Canada,Facebook,Video,Mobile,493,26,2197,25120,7.5,5.57,511,52,56.68,9.66,73.71,31.32,12.29,485,478,67.9,29.26,Blog Post,11.33,9.46,3718,55.63,9232,1.63,2.17,960.52,0.74,227,1923,18,62.16,929
1/2/23 17:00,January,2023,Q1,Afternoon,eco-friendly clothing,eco-friendly hiking gear,biodegradable outdoor clothing,Canada,YouTube,Shorts,Desktop,6298,87,630,30583,2.52,21.24,631,83,33.76,1.63,80.85,43.77,2.25,229,357,41.78,11.46,Category Page,81.11,7.92,2185,62.42,1201.35,9.57,2.33,999.94,0.76,210,501,9,10.05,519
1/2/23 18:00,January,2023,Q1,Evening,recycled fabric dresses,eco-friendly sportswear,biodegradable outdoor clothing,Canada,YouTube,Shorts,Desktop,1827,83,2760,1956,2.85,19.82,594,78,65.96,1.61,86.79,42.15,13.69,247,200,54.87,13.2,Category Page,79.43,0.77,3976,75.01,5927.46,1.86,3.13,441.21,0.39,79,4556,9,47.73,1326
1/2/23 19:00,January,2023,Q1,Evening,eco-friendly accessories,ethical fashion brands,eco-friendly clothing for hikers,Germany,Facebook,Shorts,Tablet,5415,83,497,22092,6.94,16.31,525,84,33.25,4.74,90.46,49.74,3.95,179,52,63.75,11.2,Product Page,86.54,7.78,4187,86.78,3706.05,8.97,1.78,502.41,0.86,375,4175,8,36.51,633
1/2/23 20:00,January,2023,Q1,Evening,organic cotton apparel,eco-friendly sportswear,where to buy recycled polyester running shorts,Canada,Twitter,Image gallery,Laptop,9110,10,1780,17362,5.57,22.33,427,34,35.35,4.46,91.52,6.62,5.15,352,247,66.38,42.07,Homepage,40.46,9.53,1761,67.77,5913.36,3.26,3.46,133.3,0.62,377,2442,6,28.21,740
1/2/23 21:00,January,2023,Q1,Evening,eco-friendly accessories,green fashion trends,best organic cotton t-shirts in the US,Australia,Snapchat,Infographic,Mobile,2386,75,2309,2118,8.35,2.05,978,25,47.99,9.44,66.85,8.71,13.28,24,219,74.31,14.41,Homepage,35.36,1.29,2474,68.9,1603.09,8.92,4.85,285.6,0.8,54,3352,7,49.17,843
1/2/23 22:00,January,2023,Q1,Evening,organic cotton apparel,eco-friendly hiking gear,eco-friendly clothing for hikers,Mexico,TikTok,Infographic,Laptop,4521,60,1152,37799,5.68,2.13,71,68,17.24,6.68,90.32,2.17,0.75,44,318,54.68,16.27,Blog Post,34.87,7.08,2370,88.15,5757.71,1.8,2.71,404.79,0.1,246,2382,10,18.76,679
1/2/23 23:00,January,2023,Q1,Evening,recycled fabric dresses,sustainable activewear,eco-friendly clothing for hikers,Mexico,Snapchat,Blog post,Mobile,6498,29,2150,32838,8,6.2,581,44,76.45,1.07,59.23,8.62,1.86,492,415,45.27,48.08,Homepage,61.63,7.17,3331,72.63,9534.41,7.3,1.68,652.65,0.97,120,642,1,19.86,1258
1/3/23 0:00,January,2023,Q1,Night,sustainable outdoor gear,eco-friendly hiking gear,eco-friendly clothing for hikers,United Kingdom,Instagram,Blog post,Tablet,7111,45,1798,38393,4.41,5.07,751,75,61.79,9.87,61.66,-2.01,5.87,444,534,77.37,31.32,Blog Post,58.45,3.18,3652,78.78,987.3,9.9,4.99,473.68,0.52,146,291,18,26.53,1465
1/3/23 1:00,January,2023,Q1,Night,sustainable outdoor gear,sustainable activewear,carbon-neutral activewear,Canada,Snapchat,Product page,Tablet,2498,71,2107,27684,1.76,48.09,360,44,15.46,8.89,58.87,1.51,6.95,390,251,50.62,48.22,Product Page,41.54,2.07,4189,70.89,754.98,4.8,1.61,527.84,0.71,350,4055,19,38,383
1/3/23 2:00,January,2023,Q1,Night,eco-friendly clothing,eco-friendly sportswear,where to buy recycled polyester running shorts,Mexico,Instagram,Video,Desktop,4215,25,2636,45844,5.11,3.22,804,73,56.31,2.14,50.58,-8.3,6.56,238,313,75.05,12.41,Category Page,10.16,2.26,2529,61.33,9233.31,8.19,1.08,229.36,0.46,249,1427,5,12.51,1014
1/3/23 3:00,January,2023,Q1,Night,eco-friendly accessories,sustainable activewear,where to buy recycled polyester running shorts,Mexico,Instagram,Image gallery,Laptop,5829,40,2740,38861,6.93,35.75,599,82,23.22,6.83,87.14,4.07,13.82,47,388,63.23,45.11,Product Page,57.75,8,1984,54.68,789.23,8.13,3.65,195.28,0.62,7,2439,17,22.06,1341
1/3/23 4:00,January,2023,Q1,Night,vegan leather handbags,ethical fashion brands,biodegradable outdoor clothing,United States,Facebook,Product page,Mobile,2335,98,509,1190,9.16,42.03,754,76,70.24,4.75,54.09,10.71,6.37,450,385,40.06,23.81,Homepage,59.07,6.36,2741,73.25,4317.06,9.87,4.72,972.3,0.33,400,855,2,41.57,351
1/3/23 5:00,January,2023,Q1,Night,recycled fabric dresses,green fashion trends,biodegradable outdoor clothing,United Kingdom,YouTube,Video,Laptop,6088,33,2152,20368,9.75,11.4,412,74,65.13,5.6,85.49,-7.65,12.05,348,561,64.16,47.6,Product Page,10.34,9.72,2170,81.3,3321.67,7.99,4.76,933.57,0.85,154,3864,7,39.85,424
1/3/23 6:00,January,2023,Q1,Morning,vegan leather handbags,athleisure for eco-conscious consumers,carbon-neutral activewear,Germany,YouTube,Shorts,Laptop,5189,33,1138,25080,6.33,2.81,67,84,30,7.09,75.3,47.96,11.37,22,580,63.4,11.97,Product Page,82.76,8.46,1520,88.16,634.61,7.34,3.67,846.86,0.53,253,3762,18,56.66,755
1/3/23 7:00,January,2023,Q1,Morning,sustainable outdoor gear,athleisure for eco-conscious consumers,sustainable fashion for athletes,Australia,Pinterest,Shorts,Laptop,2536,20,2974,5591,0.99,34.46,526,49,50.39,6.38,69.07,24.89,5,176,119,61.09,28.49,Homepage,38.57,6.72,2096,73.98,8886.86,7.67,4.59,554.22,0.53,95,4299,5,25.01,782
1/3/23 8:00,January,2023,Q1,Morning,eco-friendly accessories,athleisure for eco-conscious consumers,best organic cotton t-shirts in the US,Canada,TikTok,Video,Laptop,7736,72,657,26181,3.03,4.51,326,86,11.76,7.52,77.03,4.47,11.83,12,114,57.39,32.93,Product Page,17.45,3.35,973,73.01,6355.23,1.49,4.13,467.45,0.6,343,3674,0,16.12,1289
1/3/23 9:00,January,2023,Q1,Morning,sustainable outdoor gear,athleisure for eco-conscious consumers,sustainable fashion for athletes,United States,Facebook,Image gallery,Laptop,8826,52,2755,28970,4.23,28.21,872,47,72.81,4.84,86.02,47.4,12.93,430,327,76.08,23.36,Category Page,73.3,8.72,3836,66.33,1259.53,8.69,1.21,338.42,0.88,247,2512,9,42.1,593
1/3/23 10:00,January,2023,Q1,Morning,organic cotton apparel,green fashion trends,best organic cotton t-shirts in the US,Mexico,Instagram,Image gallery,Laptop,4710,13,1227,36108,6.93,41.5,537,81,47.02,7.12,92.04,-3.82,13.02,490,437,64.74,46.43,Blog Post,47.43,5.09,1736,60.92,5232.68,2.48,4.98,126.1,0.92,250,4826,3,68.7,586
1/3/23 11:00,January,2023,Q1,Morning,sustainable outdoor gear,ethical fashion brands,sustainable fashion for athletes,Canada,Instagram,Blog post,Laptop,2452,83,459,4619,7.86,40.39,526,37,70.9,2.83,95.99,6.36,7.39,344,302,69.12,24.74,Category Page,70.3,7.36,3650,59.24,5333.93,2.23,2.02,699.97,0.23,283,4231,9,11.82,490
1/3/23 12:00,January,2023,Q1,Afternoon,recycled fabric dresses,athleisure for eco-conscious consumers,best organic cotton t-shirts in the US,Canada,Snapchat,Video,Laptop,1433,31,1408,35366,3.1,2.16,596,46,36.94,5.85,75.27,8.63,9.45,191,101,40.17,11.36,Homepage,24.93,3.65,3103,73.07,8298.94,1.72,1.48,915.2,0.36,146,1370,14,11.35,1423
1/3/23 13:00,January,2023,Q1,Afternoon,sustainable outdoor gear,sustainable activewear,carbon-neutral activewear,Canada,TikTok,Shorts,Laptop,528,61,2564,23321,1.87,4.48,85,63,29.85,5.24,52.8,16.36,2.02,364,513,45.66,39.51,Category Page,27.86,9.58,1636,81.94,1510.7,9.04,4.42,691.21,0.39,159,4419,3,52.61,904
1/3/23 14:00,January,2023,Q1,Afternoon,sustainable outdoor gear,sustainable activewear,carbon-neutral activewear,United States,TikTok,Infographic,Tablet,2422,73,2619,8275,7.05,39.96,58,75,29.93,3.55,63.39,4.39,7.39,412,308,54.64,27.08,Category Page,22.95,2.2,4663,80.83,9687.21,6.32,3.54,563.65,0.17,323,2997,15,64.16,1337
1/3/23 15:00,January,2023,Q1,Afternoon,recycled fabric dresses,green fashion trends,carbon-neutral activewear,United States,Facebook,Blog post,Tablet,6153,88,154,4485,5.74,6.41,844,78,42.33,1.12,84.79,-8.72,5.05,308,430,77.44,27.84,Product Page,48.85,2.08,4727,67.98,6523.62,7.53,4.54,862.9,0.67,466,2440,7,44.44,1393
1/3/23 16:00,January,2023,Q1,Afternoon,eco-friendly accessories,athleisure for eco-conscious consumers,where to buy recycled polyester running shorts,United States,Snapchat,Image gallery,Mobile,525,34,1111,17689,3.21,8.96,614,69,32.55,6.57,97.5,-9.67,9.21,427,64,74.54,34.34,Homepage,20.63,5.9,2422,51.7,3693.1,1.89,3.76,419.63,0.7,34,2824,5,67.45,842
1/3/23 17:00,January,2023,Q1,Afternoon,recycled fabric dresses,athleisure for eco-conscious consumers,biodegradable outdoor clothing,Germany,TikTok,Infographic,Laptop,7677,10,1457,16513,8.53,28.86,907,77,24.68,9.57,98.4,12.55,9.54,349,146,46.2,28.92,Blog Post,75.15,1.08,4465,75.68,3084.51,1.78,4.55,111.09,0.53,109,1658,0,54.12,506
1/3/23 18:00,January,2023,Q1,Evening,recycled fabric dresses,sustainable activewear,eco-friendly clothing for hikers,Germany,Facebook,Video,Tablet,4835,1,2871,26246,9.49,27,556,19,31.56,3.78,56.05,36.47,14.07,183,59,40.19,22.29,Category Page,62.57,5.98,505,72.28,1950.34,5.59,2.72,644.24,0.99,134,3093,10,27.53,1017
1/3/23 19:00,January,2023,Q1,Evening,organic cotton apparel,eco-friendly hiking gear,eco-friendly clothing for hikers,Mexico,Instagram,Shorts,Laptop,9598,88,888,31099,0.68,23.58,785,25,43.52,5.11,71.79,-3.9,11.51,460,575,52.97,47.33,Category Page,73.56,4.48,3267,54.24,8815.31,2.63,4.29,108.53,0.71,97,4423,15,69.78,1024
1/3/23 20:00,January,2023,Q1,Evening,vegan leather handbags,green fashion trends,where to buy recycled polyester running shorts,United States,Instagram,Image gallery,Desktop,3980,92,2223,13502,9.36,34.69,631,39,34.23,3.65,53.99,43.33,9.47,140,563,50.1,38.62,Homepage,19.61,3.32,3093,53.11,7918.26,1.09,3.17,628.3,0.36,273,4390,17,62.58,1012
1/3/23 21:00,January,2023,Q1,Evening,eco-friendly clothing,green fashion trends,biodegradable outdoor clothing,United Kingdom,TikTok,Video,Desktop,4941,85,485,34726,8.29,17.46,148,31,75.01,6.64,69.83,3.63,11.12,444,593,54.03,23.3,Product Page,16.28,4.81,571,67.68,2274.89,3.28,2.47,814.44,0.21,193,2637,15,44.01,873
